t,x0,x1,x2
0,10,1,1
0.01,9.26948,3.56366,1.19086
0.02,8.84195,5.9214,1.5831
0.03,8.67207,8.13568,2.14833
0.04,8.72423,10.2572,2.88059
0.05,8.97042,12.3239,3.78998
0.06,9.38822,14.3599,4.89839
0.07,9.95899,16.3749,6.23634
0.08,10.666,18.3621,7.84004
0.09,11.4925,20.2965,9.74801
0.1,12.4202,22.1327,11.9964
0.11,13.4269,23.803,14.6131
0.12,14.4852,25.2182,17.6091
0.13,15.5608,26.2704,20.9693
0.14,16.6118,26.8406,24.6423
0.15,17.589,26.8125,28.5326
0.16,18.4376,26.091,32.4976
0.17,19.1009,24.6242,36.3539
0.18,19.5256,22.4228,39.8952
0.19,19.668,19.5714,42.9188
0.2,19.5001,16.2252,45.2583
0.21,19.014,12.5909,46.8115
0.22,18.2236,8.89527,47.556
0.23,17.1625,5.35055,47.5476
0.24,15.8794,2.12573,46.9033
0.25,14.4317,-0.669043,45.7746
0.26,12.8788,-2.98406,44.3207
0.27,11.2768,-4.8208,42.6867
0.28,9.67406,-6.21709,40.9912
0.29,8.10998,-7.23168,39.3216
0.3,6.61395,-7.9314,37.7359
0.31,5.20625,-8.38204,36.2675
0.32,3.89923,-8.64304,34.9314
0.33,2.69885,-8.76503,33.7296
0.34,1.60611,-8.78926,32.6565
0.35,0.618432,-8.74834,31.7018
0.36,-0.26925,-8.66731,30.8534
0.37,-1.06359,-8.565,30.0989
0.38,-1.77215,-8.45528,29.4265
0.39,-2.4029,-8.34812,28.8258
0.4,-2.96384,-8.25055,28.2875
0.41,-3.46278,-8.16735,27.8039
0.42,-3.90715,-8.10159,27.3684
0.43,-4.3039,-8.05511,26.9757
0.44,-4.65944,-8.02883,26.6218
0.45,-4.97963,-8.02295,26.3031
0.46,-5.26977,-8.0372,26.0172
0.47,-5.53461,-8.07092,25.7621
0.48,-5.77835,-8.12316,25.5362
0.49,-6.00473,-8.19277,25.3386
0.5,-6.21697,-8.27846,25.1685
0.51,-6.41789,-8.37877,25.0255
0.52,-6.60988,-8.49215,24.9092
0.53,-6.79495,-8.61695,24.8196
0.54,-6.97477,-8.75142,24.7566
0.55,-7.15067,-8.89374,24.7201
0.56,-7.32368,-9.04197,24.7101
0.57,-7.49453,-9.1941,24.7266
0.58,-7.66371,-9.34803,24.7694
0.59,-7.83143,-9.50157,24.8382
0.6,-7.9977,-9.65246,24.9327
0.61,-8.16227,-9.79836,25.0522
0.62,-8.32474,-9.93691,25.1958
0.63,-8.48447,-10.0657,25.3624
0.64,-8.6407,-10.1824,25.5507
0.65,-8.79248,-10.2846,25.7588
0.66,-8.93875,-10.3701,25.9847
0.67,-9.07834,-10.4368,26.226
0.68,-9.21001,-10.4829,26.4799
0.69,-9.33247,-10.5067,26.7436
0.7,-9.44441,-10.5069,27.0135
0.71,-9.54454,-10.4826,27.2863
0.72,-9.63163,-10.4334,27.558
0.73,-9.70453,-10.3592,27.825
0.74,-9.76224,-10.2604,28.0834
0.75,-9.80391,-10.1381,28.3293
0.76,-9.82889,-9.99363,28.5592
0.77,-9.83676,-9.82899,28.7696
0.78,-9.82732,-9.64649,28.9575
0.79,-9.80066,-9.44881,29.1204
0.8,-9.75711,-9.23894,29.2559
0.81,-9.69727,-9.02004,29.3625
0.82,-9.62199,-8.79539,29.439
0.83,-9.53235,-8.5683,29.4849
0.84,-9.42964,-8.342,29.5001
0.85,-9.31533,-8.11955,29.485
0.86,-9.19104,-7.90385,29.4406
0.87,-9.05848,-7.69748,29.3682
0.88,-8.91944,-7.50272,29.2695
0.89,-8.77575,-7.32156,29.1463
0.9,-8.62921,-7.15558,29.0008
0.91,-8.48161,-7.00609,28.8353
0.92,-8.33466,-6.87404,28.6522
0.93,-8.19001,-6.76007,28.4539
0.94,-8.04917,-6.66458,28.2427
0.95,-7.91354,-6.58771,28.0212
0.96,-7.7844,-6.52941,27.7917
0.97,-7.6629,-6.48946,27.5563
0.98,-7.55003,-6.46748,27.3173
0.99,-7.44666,-6.46303,27.0767
1,-7.35353,-6.47555,26.8364
1.01,-7.27125,-6.50444,26.5983
1.02,-7.20031,-6.54908,26.3643
1.03,-7.14111,-6.60879,26.1359
1.04,-7.09393,-6.68291,25.9148
1.05,-7.05896,-6.77075,25.7024
1.06,-7.03631,-6.87163,25.5003
1.07,-7.02602,-6.98485,25.3099
1.08,-7.02805,-7.10971,25.1324
1.09,-7.04231,-7.24548,24.9693
1.1,-7.06862,-7.39141,24.8217
1.11,-7.10678,-7.54671,24.6908
1.12,-7.15651,-7.71054,24.5779
1.13,-7.21747,-7.882,24.4839
1.14,-7.28928,-8.0601,24.4101
1.15,-7.37147,-8.24377,24.3574
1.16,-7.46355,-8.43183,24.3268
1.17,-7.56492,-8.62299,24.3189
1.18,-7.67493,-8.81582,24.3346
1.19,-7.79284,-9.00877,24.3744
1.2,-7.91783,-9.20013,24.4388
1.21,-8.04898,-9.38806,24.528
1.22,-8.18529,-9.57061,24.6419
1.23,-8.32566,-9.74567,24.7804
1.24,-8.46888,-9.91106,24.9428
1.25,-8.61365,-10.0645,25.1285
1.26,-8.75857,-10.2037,25.336
1.27,-8.90216,-10.3263,25.564
1.28,-9.04287,-10.4301,25.8104
1.29,-9.17907,-10.513,26.073
1.3,-9.3091,-10.573,26.3489
1.31,-9.43129,-10.6084,26.6351
1.32,-9.54398,-10.6179,26.9282
1.33,-9.64555,-10.6004,27.2244
1.34,-9.73446,-10.5554,27.5198
1.35,-9.80929,-10.4829,27.8103
1.36,-9.86878,-10.3832,28.0918
1.37,-9.91186,-10.2575,28.3602
1.38,-9.93767,-10.1073,28.6114
1.39,-9.94562,-9.93461,28.8419
1.4,-9.93541,-9.74204,29.0482
1.41,-9.90699,-9.53252,29.2276
1.42,-9.86065,-9.30929,29.3775
1.43,-9.79696,-9.07586,29.4962
1.44,-9.71676,-8.83583,29.5824
1.45,-9.62119,-8.59284,29.6355
1.46,-9.51158,-8.35044,29.6554
1.47,-9.38951,-8.11202,29.6426
1.48,-9.25668,-7.88073,29.5982
1.49,-9.11495,-7.65942,29.5236
1.5,-8.96622,-7.45057,29.4206
1.51,-8.81247,-7.25631,29.2913
1.52,-8.65564,-7.07837,29.1381
1.53,-8.49765,-6.91811,28.9635
1.54,-8.34033,-6.77654,28.77
1.55,-8.18545,-6.65431,28.5603
1.56,-8.03463,-6.5518,28.337
1.57,-7.88936,-6.46911,28.1027
1.58,-7.751,-6.40614,27.8598
1.59,-7.62077,-6.36261,27.6107
1.6,-7.4997,-6.33807,27.3577
1.61,-7.38872,-6.33199,27.103
1.62,-7.28859,-6.34377,26.8486
1.63,-7.19994,-6.37273,26.5964
1.64,-7.1233,-6.41819,26.3484
1.65,-7.05904,-6.47943,26.1061
1.66,-7.00746,-6.55575,25.8713
1.67,-6.96874,-6.64641,25.6456
1.68,-6.94301,-6.75072,25.4304
1.69,-6.93028,-6.86797,25.2272
1.7,-6.93052,-6.99745,25.0374
1.71,-6.94363,-7.13844,24.8622
1.72,-6.96942,-7.29018,24.7031
1.73,-7.00769,-7.45191,24.5613
1.74,-7.05816,-7.6228,24.438
1.75,-7.1205,-7.80197,24.3344
1.76,-7.19432,-7.98845,24.2516
1.77,-7.27917,-8.18117,24.1908
1.78,-7.37454,-8.37897,24.1528
1.79,-7.47985,-8.58056,24.1387
1.8,-7.59445,-8.78449,24.1493
1.81,-7.7176,-8.9892,24.1852
1.82,-7.84848,-9.19292,24.2471
1.83,-7.98617,-9.39377,24.3351
1.84,-8.12964,-9.5897,24.4496
1.85,-8.27778,-9.77849,24.5903
1.86,-8.42935,-9.95783,24.7568
1.87,-8.58301,-10.1253,24.9484
1.88,-8.7373,-10.2783,25.1639
1.89,-8.89068,-10.4145,25.4018
1.9,-9.0415,-10.5312,25.6602
1.91,-9.18804,-10.6262,25.9368
1.92,-9.32852,-10.6971,26.2286
1.93,-9.46115,-10.7421,26.5325
1.94,-9.58412,-10.7595,26.8449
1.95,-9.69564,-10.748,27.1618
1.96,-9.79403,-10.7069,27.479
1.97,-9.8777,-10.6359,27.7921
1.98,-9.94523,-10.5354,28.0964
1.99,-9.99537,-10.4064,28.3876
2,-10.0272,-10.2504,28.6613
2.01,-10.0398,-10.0696,28.9134
2.02,-10.033,-9.86663,29.1401
2.03,-10.0066,-9.64464,29.3381
2.04,-9.96076,-9.40717,29.5047
2.05,-9.8961,-9.15802,29.638
2.06,-9.81349,-8.90115,29.7363
2.07,-9.71407,-8.64055,29.7989
2.08,-9.5993,-8.38013,29.8258
2.09,-9.47083,-8.12364,29.8173
2.1,-9.3305,-7.87453,29.7747
2.11,-9.18031,-7.63595,29.6994
2.12,-9.02233,-7.41064,29.5935
2.13,-8.85868,-7.20091,29.4591
2.14,-8.69148,-7.00866,29.299
2.15,-8.5228,-6.83535,29.1158
2.16,-8.35464,-6.68205,28.9122
2.17,-8.18889,-6.54946,28.6912
2.18,-8.02732,-6.43793,28.4556
2.19,-7.87153,-6.34754,28.2081
2.2,-7.72298,-6.27813,27.9513
2.21,-7.58296,-6.22934,27.6879
2.22,-7.4526,-6.20068,27.4202
2.23,-7.33287,-6.19153,27.1505
2.24,-7.22458,-6.20121,26.8809
2.25,-7.1284,-6.22896,26.6135
2.26,-7.04485,-6.27404,26.3502
2.27,-6.97435,-6.33568,26.0927
2.28,-6.9172,-6.41312,25.8429
2.29,-6.87359,-6.5056,25.6022
2.3,-6.84362,-6.6124,25.3722
2.31,-6.82734,-6.73278,25.1545
2.32,-6.82469,-6.86604,24.9505
2.33,-6.83556,-7.01146,24.7615
2.34,-6.8598,-7.16831,24.5889
2.35,-6.89718,-7.33583,24.434
2.36,-6.94743,-7.51323,24.2981
2.37,-7.01023,-7.69965,24.1824
2.38,-7.08518,-7.89415,24.0883
2.39,-7.17186,-8.09571,24.0167
2.4,-7.26977,-8.30319,23.969
2.41,-7.37835,-8.5153,23.946
2.42,-7.49694,-8.73062,23.9487
2.43,-7.62483,-8.94757,23.978
2.44,-7.7612,-9.16439,24.0346
2.45,-7.90514,-9.37914,24.1188
2.46,-8.05564,-9.5897,24.2311
2.47,-8.21156,-9.79376,24.3715
2.48,-8.37164,-9.98889,24.5396
2.49,-8.53453,-10.1725,24.7349
2.5,-8.69872,-10.3418,24.9564
2.51,-8.8626,-10.4942,25.2026
2.52,-9.02445,-10.6269,25.4717
2.53,-9.18247,-10.7372,25.7613
2.54,-9.33475,-10.8225,26.0686
2.55,-9.47936,-10.8806,26.3903
2.56,-9.61434,-10.9095,26.7226
2.57,-9.73775,-10.9076,27.0614
2.58,-9.8477,-10.8739,27.4021
2.59,-9.94241,-10.8078,27.7399
2.6,-10.0203,-10.7096,28.0701
2.61,-10.0798,-10.58,28.3875
2.62,-10.1199,-10.4205,28.6874
2.63,-10.1397,-10.2333,28.9651
2.64,-10.1385,-10.0211,29.2165
2.65,-10.1162,-9.78737,29.4377
2.66,-10.0729,-9.53581,29.6257
2.67,-10.009,-9.27055,29.778
2.68,-9.92551,-8.99593,29.8929
2.69,-9.82355,-8.71634,29.9693
2.7,-9.70462,-8.43611,30.0071
2.71,-9.57047,-8.1594,30.0066
2.72,-9.42309,-7.89008,29.969
2.73,-9.2646,-7.63162,29.8959
2.74,-9.09726,-7.3871,29.7894
2.75,-8.92334,-7.15909,29.652
2.76,-8.74517,-6.9497,29.4866
2.77,-8.56499,-6.76056,29.2959
2.78,-8.38499,-6.59282,29.0832
2.79,-8.20722,-6.44723,28.8515
2.8,-8.0336,-6.32417,28.6038
2.81,-7.86589,-6.22371,28.343
2.82,-7.70567,-6.14563,28.0722
2.83,-7.55432,-6.08951,27.7939
2.84,-7.41308,-6.05477,27.5107
2.85,-7.28298,-6.04071,27.2251
2.86,-7.16489,-6.04656,26.9393
2.87,-7.05952,-6.07149,26.6555
2.88,-6.96745,-6.11468,26.3756
2.89,-6.88909,-6.17529,26.1015
2.9,-6.82477,-6.25249,25.8349
2.91,-6.77469,-6.3455,25.5776
2.92,-6.73896,-6.45356,25.3311
2.93,-6.71761,-6.57591,25.0969
2.94,-6.71059,-6.71184,24.8765
2.95,-6.71781,-6.86064,24.6714
2.96,-6.7391,-7.02161,24.4829
2.97,-6.77423,-7.194,24.3125
2.98,-6.82295,-7.37706,24.1614
2.99,-6.88494,-7.56999,24.031
3,-6.95983,-7.77188,23.9226
3.01,-7.0472,-7.98177,23.8374
3.02,-7.14657,-8.19856,23.7766
3.03,-7.25741,-8.42102,23.7415
3.04,-7.37908,-8.64777,23.733
3.05,-7.5109,-8.87724,23.7523
3.06,-7.65207,-9.10769,23.8
3.07,-7.80171,-9.33717,23.877
3.08,-7.95881,-9.56353,23.9836
3.09,-8.12226,-9.78439,24.1202
3.1,-8.2908,-9.99721,24.2866
3.11,-8.46305,-10.1993,24.4824
3.12,-8.63751,-10.3876,24.7068
3.13,-8.81251,-10.5594,24.9587
3.14,-8.98627,-10.7115,25.2361
3.15,-9.1569,-10.8409,25.537
3.16,-9.32239,-10.9448,25.8585
3.17,-9.48068,-11.0204,26.1973
3.18,-9.62963,-11.0655,26.5496
3.19,-9.76714,-11.0779,26.911
3.2,-9.8911,-11.0562,27.2767
3.21,-9.99952,-10.9997,27.6416
3.22,-10.0905,-10.908,28.0005
3.23,-10.1625,-10.7817,28.3478
3.24,-10.214,-10.6222,28.6782
3.25,-10.2438,-10.4316,28.9865
3.26,-10.2513,-10.2125,29.2679
3.27,-10.236,-9.96861,29.518
3.28,-10.1979,-9.7038,29.7333
3.29,-10.1374,-9.42256,29.9106
3.3,-10.0553,-9.12959,30.0478
3.31,-9.9527,-8.82975,30.1437
3.32,-9.83123,-8.52787,30.1978
3.33,-9.69268,-8.22857,30.2102
3.34,-9.53914,-7.93623,30.1821
3.35,-9.37289,-7.65477,30.1152
3.36,-9.19634,-7.38768,30.0118
3.37,-9.01199,-7.13789,29.8744
3.38,-8.82235,-6.9078,29.706
3.39,-8.62989,-6.69924,29.51
3.4,-8.437,-6.51355,29.2896
3.41,-8.24593,-6.35157,29.0481
3.42,-8.0588,-6.21374,28.7889
3.43,-7.87753,-6.10011,28.5153
3.44,-7.70386,-6.01044,28.2302
3.45,-7.53933,-5.94424,27.9367
3.46,-7.38526,-5.90086,27.6374
3.47,-7.24279,-5.87949,27.3351
3.48,-7.11288,-5.87928,27.032
3.49,-6.9963,-5.8993,26.7305
3.5,-6.89366,-5.93863,26.4325
3.51,-6.80543,-5.99634,26.1401
3.52,-6.73194,-6.07155,25.8551
3.53,-6.67341,-6.16341,25.5792
3.54,-6.62996,-6.27112,25.3141
3.55,-6.60164,-6.3939,25.0612
3.56,-6.58839,-6.53102,24.8222
3.57,-6.59012,-6.68178,24.5984
3.58,-6.60666,-6.84549,24.3914
3.59,-6.63781,-7.02145,24.2025
3.6,-6.6833,-7.20895,24.0332
3.61,-6.74283,-7.40724,23.8848
3.62,-6.81605,-7.61548,23.7587
3.63,-6.90257,-7.83279,23.6563
3.64,-7.00194,-8.05813,23.5788
3.65,-7.11363,-8.29035,23.5276
3.66,-7.23707,-8.52815,23.5039
3.67,-7.37161,-8.77003,23.5088
3.68,-7.51649,-9.0143,23.5434
3.69,-7.67087,-9.25903,23.6086
3.7,-7.83378,-9.50208,23.705
3.71,-8.00415,-9.74108,23.8331
3.72,-8.18074,-9.97339,23.9933
3.73,-8.3622,-10.1962,24.1852
3.74,-8.54701,-10.4064,24.4084
3.75,-8.7335,-10.6009,24.6619
3.76,-8.91986,-10.7764,24.9442
3.77,-9.10413,-10.9294,25.2532
3.78,-9.28421,-11.0568,25.5864
3.79,-9.45791,-11.1555,25.9405
3.8,-9.62295,-11.2224,26.3117
3.81,-9.77702,-11.2552,26.6955
3.82,-9.91782,-11.2518,27.087
3.83,-10.0431,-11.2109,27.4809
3.84,-10.1507,-11.1318,27.8713
3.85,-10.2387,-11.0146,28.2523
3.86,-10.3053,-10.8603,28.618
3.87,-10.3493,-10.6708,28.9625
3.88,-10.3694,-10.4487,29.2802
3.89,-10.365,-10.1976,29.5662
3.9,-10.3359,-9.92156,29.816
3.91,-10.2823,-9.62539,30.0259
3.92,-10.2048,-9.31419,30.1932
3.93,-10.1046,-8.99327,30.3161
3.94,-9.98309,-8.66803,30.3937
3.95,-9.84223,-8.34369,30.426
3.96,-9.68416,-8.02521,30.4138
3.97,-9.51128,-7.7171,30.3589
3.98,-9.32621,-7.42338,30.2635
3.99,-9.13163,-7.14747,30.1305
4,-8.93029,-6.89216,29.9631
4.01,-8.7249,-6.65963,29.7647
4.02,-8.5181,-6.45147,29.5389
4.03,-8.31238,-6.26869,29.2896
4.04,-8.11011,-6.11181,29.0202
4.05,-7.91341,-5.98095,28.7343
4.06,-7.72422,-5.87584,28.4354
4.07,-7.54426,-5.79596,28.1265
4.08,-7.37502,-5.74055,27.8108
4.09,-7.21776,-5.70874,27.4909
4.1,-7.07353,-5.69953,27.1695
4.11,-6.94321,-5.71189,26.8489
4.12,-6.82747,-5.74479,26.5314
4.13,-6.72682,-5.79719,26.219
4.14,-6.64164,-5.86813,25.9136
4.15,-6.57218,-5.95667,25.617
4.16,-6.51857,-6.06194,25.3309
4.17,-6.48086,-6.18314,25.0569
4.18,-6.45901,-6.31951,24.7965
4.19,-6.45292,-6.47035,24.5513
4.2,-6.46243,-6.63497,24.3226
4.21,-6.48735,-6.81272,24.1121
4.22,-6.52742,-7.00294,23.9211
4.23,-6.58235,-7.20493,23.751
4.24,-6.65182,-7.41795,23.6033
4.25,-6.73545,-7.6412,23.4795
4.26,-6.83282,-7.87376,23.3809
4.27,-6.94347,-8.11458,23.309
4.28,-7.06685,-8.36247,23.2651
4.29,-7.20238,-8.61606,23.2505
4.3,-7.34934,-8.87373,23.2666
4.31,-7.50697,-9.13369,23.3143
4.32,-7.67437,-9.39383,23.3948
4.33,-7.8505,-9.65183,23.5087
4.34,-8.03422,-9.90506,23.6565
4.35,-8.22421,-10.1507,23.8386
4.36,-8.41899,-10.3855,24.0546
4.37,-8.61692,-10.6061,24.3041
4.38,-8.81619,-10.8091,24.5858
4.39,-9.01481,-10.9907,24.8981
4.4,-9.21063,-11.1473,25.2386
4.41,-9.40136,-11.2753,25.6044
4.42,-9.58459,-11.3711,25.9917
4.43,-9.75783,-11.4318,26.3963
4.44,-9.91855,-11.4547,26.8132
4.45,-10.0642,-11.4376,27.2366
4.46,-10.1924,-11.3793,27.6607
4.47,-10.3009,-11.2792,28.0789
4.48,-10.3874,-11.1377,28.4846
4.49,-10.4504,-10.9564,28.8714
4.5,-10.4882,-10.7375,29.2327
4.51,-10.5,-10.4843,29.5627
4.52,-10.485,-10.2011,29.8561
4.53,-10.4432,-9.89281,30.1082
4.54,-10.3751,-9.56484,30.3155
4.55,-10.2816,-9.22303,30.4754
4.56,-10.164,-8.87335,30.5864
4.57,-10.0241,-8.52175,30.6479
4.58,-9.86427,-8.17389,30.6606
4.59,-9.68693,-7.83504,30.6259
4.6,-9.49485,-7.50992,30.5461
4.61,-9.29094,-7.2026,30.424
4.62,-9.07818,-6.91646,30.263
4.63,-8.85958,-6.65416,30.067
4.64,-8.63806,-6.41767,29.8399
4.65,-8.41641,-6.20829,29.5856
4.66,-8.19728,-6.02675,29.3083
4.67,-7.98308,-5.87325,29.0118
4.68,-7.776,-5.74759,28.7
4.69,-7.578,-5.64921,28.3762
4.7,-7.39077,-5.57729,28.0438
4.71,-7.21575,-5.53083,27.7059
4.72,-7.05415,-5.50873,27.3652
4.73,-6.90696,-5.50982,27.0244
4.74,-6.77495,-5.53291,26.6858
4.75,-6.65872,-5.57685,26.3516
4.76,-6.55869,-5.64054,26.0237
4.77,-6.47516,-5.72294,25.7041
4.78,-6.40829,-5.8231,25.3946
4.79,-6.35813,-5.94013,25.0966
4.8,-6.32467,-6.07324,24.812
4.81,-6.3078,-6.2217,24.5421
4.82,-6.30739,-6.38483,24.2884
4.83,-6.32322,-6.562,24.0526
4.84,-6.35506,-6.75259,23.836
4.85,-6.40263,-6.95599,23.6401
4.86,-6.46562,-7.17154,23.4664
4.87,-6.54369,-7.39856,23.3164
4.88,-6.63646,-7.63625,23.1917
4.89,-6.7435,-7.88372,23.0936
4.9,-6.86434,-8.13993,23.0238
4.91,-6.99843,-8.40366,22.9837
4.92,-7.14516,-8.67347,22.9747
4.93,-7.30384,-8.94772,22.9982
4.94,-7.47365,-9.22447,23.0556
4.95,-7.65367,-9.5015,23.1478
4.96,-7.84284,-9.7763,23.2757
4.97,-8.03993,-10.046,23.44
4.98,-8.24356,-10.3075,23.641
4.99,-8.45217,-10.5573,23.8785
5,-8.66398,-10.7918,24.1518
